1,1,106.00,296.00,382.00,226.00,0.85,-1,-1,-1
1,2,947.00,70.00,40.00,32.00,0.75,-1,-1,-1
1,3,503.00,82.00,64.00,52.00,0.62,-1,-1,-1
2,1,106.00,296.00,382.00,226.00,0.85,-1,-1,-1
2,2,947.00,70.00,40.00,32.00,0.75,-1,-1,-1
2,3,503.00,82.00,64.00,52.00,0.62,-1,-1,-1
3,3,487.00,90.00,70.00,50.00,0.68,-1,-1,-1
3,4,575.00,102.00,69.00,66.00,0.65,-1,-1,-1
3,2,951.00,71.00,36.00,32.00,0.64,-1,-1,-1
3,1,0.00,362.00,143.00,225.00,0.62,-1,-1,-1
4,3,465.00,96.00,78.00,60.00,0.76,-1,-1,-1
4,4,545.00,124.00,85.00,72.00,0.75,-1,-1,-1
4,2,948.00,70.00,40.00,33.00,0.69,-1,-1,-1
5,4,482.00,166.00,117.00,98.00,0.84,-1,-1,-1
5,5,426.00,113.00,91.00,70.00,0.79,-1,-1,-1
5,2,948.00,70.00,40.00,33.00,0.58,-1,-1,-1
6,4,326.00,246.00,201.00,160.00,0.90,-1,-1,-1
6,5,359.00,139.00,116.00,90.00,0.85,-1,-1,-1
6,2,947.00,70.00,40.00,32.00,0.73,-1,-1,-1
6,6,476.00,93.00,79.00,64.00,0.51,-1,-1,-1
7,5,248.00,185.00,157.00,111.00,0.90,-1,-1,-1
7,7,0.00,465.00,305.00,225.00,0.87,-1,-1,-1
7,2,947.00,70.00,40.00,33.00,0.76,-1,-1,-1
7,6,419.00,111.00,96.00,80.00,0.75,-1,-1,-1
7,8,1187.00,574.00,93.00,146.00,0.74,-1,-1,-1
7,9,638.00,65.00,53.00,49.00,0.55,-1,-1,-1
8,5,24.00,272.00,255.00,175.00,0.93,-1,-1,-1
8,7,1045.00,351.00,214.00,172.00,0.88,-1,-1,-1
8,10,322.00,135.00,132.00,120.00,0.85,-1,-1,-1
8,6,518.00,125.00,92.00,97.00,0.83,-1,-1,-1
8,9,618.00,78.00,61.00,56.00,0.78,-1,-1,-1
8,2,947.00,70.00,40.00,33.00,0.72,-1,-1,-1
8,11,495.00,83.00,69.00,55.00,0.68,-1,-1,-1
9,7,964.00,231.00,133.00,112.00,0.88,-1,-1,-1
9,5,450.00,167.00,124.00,130.00,0.88,-1,-1,-1
9,6,594.00,95.00,73.00,70.00,0.85,-1,-1,-1
9,12,150.00,196.00,197.00,168.00,0.85,-1,-1,-1
9,11,457.00,101.00,80.00,62.00,0.77,-1,-1,-1
