1,1,597.00,72.00,64.00,65.00,0.83,-1,-1,-1
1,2,924.00,74.00,47.00,32.00,0.80,-1,-1,-1
1,3,501.00,84.00,64.00,48.00,0.79,-1,-1,-1
1,4,451.00,58.00,54.00,34.00,0.75,-1,-1,-1
1,5,539.00,61.00,54.00,44.00,0.70,-1,-1,-1
1,6,964.00,70.00,29.00,29.00,0.56,-1,-1,-1
2,1,597.00,72.00,64.00,65.00,0.83,-1,-1,-1
2,2,924.00,74.00,47.00,32.00,0.80,-1,-1,-1
2,3,501.00,84.00,64.00,48.00,0.79,-1,-1,-1
2,4,451.00,58.00,54.00,34.00,0.75,-1,-1,-1
2,5,539.00,61.00,54.00,44.00,0.70,-1,-1,-1
2,6,964.00,70.00,29.00,29.00,0.56,-1,-1,-1
3,1,591.00,78.00,70.00,68.00,0.84,-1,-1,-1
3,2,924.00,74.00,48.00,32.00,0.79,-1,-1,-1
3,3,498.00,85.00,67.00,47.00,0.79,-1,-1,-1
3,4,452.00,58.00,52.00,34.00,0.77,-1,-1,-1
3,5,539.00,61.00,54.00,44.00,0.69,-1,-1,-1
3,6,961.00,69.00,32.00,32.00,0.64,-1,-1,-1
3,7,586.00,48.00,39.00,35.00,0.57,-1,-1,-1
3,8,622.00,69.00,39.00,39.00,0.51,-1,-1,-1
4,1,575.00,91.00,73.00,73.00,0.87,-1,-1,-1
4,2,924.00,74.00,48.00,32.00,0.81,-1,-1,-1
4,4,452.00,58.00,51.00,34.00,0.79,-1,-1,-1
4,3,492.00,88.00,65.00,48.00,0.78,-1,-1,-1
4,5,537.00,62.00,54.00,44.00,0.74,-1,-1,-1
4,9,617.00,2.00,56.00,55.00,0.71,-1,-1,-1
4,8,613.00,71.00,47.00,46.00,0.67,-1,-1,-1
4,6,959.00,69.00,34.00,28.00,0.57,-1,-1,-1
4,10,892.00,43.00,32.00,28.00,0.53,-1,-1,-1
4,7,585.00,50.00,38.00,35.00,0.50,-1,-1,-1
5,1,548.00,107.00,82.00,89.00,0.85,-1,-1,-1
5,4,452.00,58.00,52.00,34.00,0.82,-1,-1,-1
5,2,924.00,74.00,48.00,32.00,0.80,-1,-1,-1
5,8,605.00,80.00,49.00,44.00,0.78,-1,-1,-1
5,3,478.00,95.00,72.00,49.00,0.77,-1,-1,-1
5,5,530.00,63.00,59.00,45.00,0.75,-1,-1,-1
5,9,617.00,2.00,54.00,55.00,0.67,-1,-1,-1
5,7,583.00,50.00,40.00,36.00,0.58,-1,-1,-1
5,11,86.00,177.00,154.00,101.00,0.55,-1,-1,-1
5,6,955.00,69.00,38.00,28.00,0.51,-1,-1,-1
6,1,501.00,134.00,104.00,106.00,0.86,-1,-1,-1
6,12,589.00,90.00,56.00,52.00,0.84,-1,-1,-1
6,2,924.00,74.00,48.00,32.00,0.81,-1,-1,-1
6,4,451.00,58.00,52.00,34.00,0.81,-1,-1,-1
6,3,457.00,103.00,76.00,54.00,0.79,-1,-1,-1
6,5,521.00,67.00,60.00,48.00,0.75,-1,-1,-1
6,7,577.00,52.00,45.00,40.00,0.67,-1,-1,-1
6,13,612.00,43.00,35.00,30.00,0.65,-1,-1,-1
6,9,617.00,2.00,47.00,55.00,0.56,-1,-1,-1
6,14,1.00,217.00,55.00,192.00,0.53,-1,-1,-1
6,6,953.00,69.00,40.00,26.00,0.52,-1,-1,-1
7,1,398.00,186.00,150.00,150.00,0.90,-1,-1,-1
7,12,568.00,106.00,64.00,58.00,0.84,-1,-1,-1
7,5,503.00,74.00,65.00,54.00,0.84,-1,-1,-1
7,2,924.00,74.00,48.00,32.00,0.81,-1,-1,-1
